fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
11.6,0.58,0.66,2.2,0.074,10.0,47.0,1.0008,3.25,0.57,9.0,3
10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,3.16,0.63,8.4,3
7.4,1.185,0.0,4.25,0.097,5.0,14.0,0.9966,3.63,0.54,10.7,3
10.4,0.44,0.42,1.5,0.145,34.0,48.0,0.99832,3.38,0.86,9.9,3
8.3,1.02,0.02,3.4,0.084,6.0,11.0,0.99892,3.48,0.49,11.0,3
7.6,1.58,0.0,2.1,0.137,5.0,9.0,0.99476,3.5,0.4,10.9,3
6.8,0.815,0.0,1.2,0.267,16.0,29.0,0.99471,3.32,0.51,9.8,3
7.3,0.98,0.05,2.1,0.061,20.0,49.0,0.99705,3.31,0.55,9.7,3
7.1,0.875,0.05,5.7,0.082,3.0,14.0,0.99808,3.4,0.52,10.2,3
6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,3
8.5,0.26,0.21,16.2,0.074,41.0,197.0,0.998,3.02,0.5,9.8,3
5.8,0.24,0.44,3.5,0.029,5.0,109.0,0.9913,3.53,0.43,11.7,3
9.1,0.59,0.38,1.6,0.066,34.0,182.0,0.9968,3.23,0.38,8.5,3
7.1,0.32,0.32,11.0,0.038,16.0,66.0,0.9937,3.24,0.4,11.5,3
6.9,0.39,0.4,4.6,0.022,5.0,19.0,0.9915,3.31,0.37,12.6,3
10.3,0.17,0.47,1.4,0.037,5.0,33.0,0.9939,2.89,0.28,9.6,3
7.9,0.64,0.46,10.6,0.244,33.0,227.0,0.9983,2.87,0.74,9.1,3
8.3,0.33,0.42,1.15,0.033,18.0,96.0,0.9911,3.2,0.32,12.4,3
8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11.0,3
7.5,0.32,0.24,4.6,0.053,8.0,134.0,0.9958,3.14,0.5,9.1,3
6.7,0.25,0.26,1.55,0.041,118.5,216.0,0.9949,3.55,0.63,9.4,3
7.1,0.49,0.22,2.0,0.047,146.5,307.5,0.9924,3.24,0.37,11.0,3
11.8,0.23,0.38,11.1,0.034,15.0,123.0,0.9997,2.93,0.55,9.7,3
7.6,0.48,0.37,1.2,0.034,5.0,57.0,0.99256,3.05,0.54,10.4,3
6.1,0.2,0.34,9.5,0.041,38.0,201.0,0.995,3.14,0.44,10.1,3
4.2,0.215,0.23,5.1,0.041,64.0,157.0,0.99688,3.42,0.44,8.0,3
9.4,0.24,0.29,8.5,0.037,124.0,208.0,0.99395,2.9,0.38,11.0,3
6.2,0.23,0.35,0.7,0.051,24.0,111.0,0.9916,3.37,0.43,11.0,3
6.8,0.26,0.34,15.1,0.06,42.0,162.0,0.99705,3.24,0.52,10.5,3
6.1,0.26,0.25,2.9,0.047,289.0,440.0,0.99314,3.44,0.64,10.5,3
5.1,1.07,1.37,54.1,0.474,109.3,271.9,1.02061,3.04,1.14,13.2,3
13.3,1.39,0.8,41.9,0.2,145.0,348.6,1.00556,3.01,1.67,12.2,3
11.5,1.22,1.19,38.9,0.216,235.8,367.0,1.0148,3.38,1.81,11.2,3
9.4,1.21,1.01,53.5,0.238,182.7,296.0,1.01616,3.03,0.96,11.6,3
11.8,0.67,0.86,34.6,0.34,229.9,195.4,1.01845,2.98,0.98,10.9,3
6.8,0.69,0.89,44.8,0.14,126.2,243.0,1.01653,3.04,1.1,12.8,3
10.1,1.29,0.76,39.6,0.315,225.7,348.6,1.02036,3.08,1.26,11.5,3
11.7,1.07,1.19,51.0,0.275,161.8,206.7,1.01767,3.16,1.04,10.0,3
8.4,0.82,0.76,47.2,0.343,132.7,213.2,1.01349,3.15,1.31,13.0,3
10.0,1.12,0.63,48.2,0.161,218.4,214.3,1.02056,2.98,0.93,10.7,3
11.2,1.01,0.9,47.0,0.22,164.4,146.0,1.00513,3.1,1.36,11.8,3
10.8,1.05,1.43,48.0,0.302,174.9,146.8,1.02056,3.32,0.91,10.6,3
13.4,0.83,1.38,45.3,0.269,149.7,255.7,1.02459,3.58,0.94,10.6,3
10.5,0.98,0.93,29.9,0.323,234.9,223.9,1.02146,2.96,1.38,11.2,3
13.3,0.98,0.47,59.3,0.37,219.6,339.0,1.02486,3.25,1.52,11.1,3
10.9,0.63,1.41,37.2,0.125,211.2,289.3,1.02871,2.91,1.66,11.2,3
12.6,1.22,1.1,57.8,0.277,77.4,289.1,1.01253,2.85,1.8,13.1,3
11.7,1.23,1.43,47.4,0.278,177.9,369.0,1.00659,2.99,1.52,11.6,3
14.4,1.24,0.97,49.4,0.356,188.9,285.6,1.0232,3.21,1.01,10.9,3
10.8,0.43,0.91,27.5,0.367,107.4,162.8,1.01847,3.39,1.35,11.3,3
7.3,0.69,1.06,34.3,0.147,174.9,292.5,1.01355,2.98,1.76,11.5,3
8.8,1.04,1.34,47.6,0.342,109.6,249.2,1.02559,3.24,0.81,12.0,3
12.3,1.09,0.96,39.4,0.232,229.0,221.0,1.02235,3.11,1.55,11.3,3
9.7,0.48,1.05,28.8,0.213,57.9,355.7,1.02254,3.5,1.76,12.6,3
7.2,0.94,1.21,34.1,0.154,168.5,269.3,1.01669,3.02,1.31,10.2,3
11.8,0.62,0.92,33.3,0.213,97.3,241.2,0.99576,3.1,1.15,11.3,3
9.7,0.8,0.87,21.8,0.407,106.7,250.3,1.01454,3.11,1.57,13.0,3
13.0,1.28,0.94,18.5,0.159,179.9,315.8,1.00211,3.01,1.63,10.7,3
12.3,1.12,0.57,49.3,0.429,155.9,301.6,1.02202,2.9,1.18,11.8,3
10.2,0.83,0.96,42.2,0.355,227.2,273.5,1.02646,2.89,1.62,11.5,3
10.6,0.55,1.21,40.8,0.142,179.1,274.3,1.01232,3.34,0.72,11.2,3
11.9,0.59,1.32,46.6,0.283,151.8,127.5,1.02004,3.47,1.68,10.8,3
12.0,0.67,0.78,45.9,0.281,192.3,225.8,1.02544,2.87,1.14,11.1,3
10.4,1.36,1.26,55.2,0.151,243.7,350.4,1.02229,3.21,1.33,11.1,3
9.8,1.19,0.86,38.8,0.229,174.6,384.0,1.01376,3.32,1.09,12.6,3
8.1,0.96,1.45,53.9,0.11,124.2,350.1,1.02138,2.91,1.59,12.4,3
11.0,0.76,0.88,38.0,0.446,159.9,140.5,1.02079,3.32,0.86,10.7,3
12.1,1.18,1.08,47.5,0.159,167.1,338.1,1.03278,2.78,1.16,11.0,3
12.2,1.15,1.41,48.1,0.457,110.7,377.5,1.01872,2.94,1.17,11.5,3
13.2,0.47,1.34,48.3,0.255,82.2,304.1,1.03039,3.16,0.87,12.6,3
13.1,1.19,0.98,42.7,0.227,90.5,290.6,1.01754,3.42,1.0,12.7,3
10.7,0.73,1.35,38.8,0.318,59.0,191.9,1.02642,3.24,1.32,10.7,3
13.3,0.8,1.1,38.9,0.141,143.3,315.6,1.02148,3.19,1.61,12.2,3
9.3,0.99,1.1,53.7,0.47,208.0,372.7,1.02658,3.09,1.37,11.1,3
9.1,0.95,0.85,56.4,0.132,161.5,384.0,1.02541,3.1,1.33,12.3,3
13.3,1.32,1.03,55.5,0.339,252.9,348.8,1.01066,3.24,1.29,12.1,3
12.5,0.6,1.3,58.8,0.302,200.7,329.0,1.0163,3.08,0.54,12.0,3
10.6,0.84,1.0,38.1,0.254,121.8,255.1,1.01662,3.34,1.18,11.7,3
9.4,1.1,1.36,46.9,0.256,129.4,407.4,1.02546,3.1,1.58,13.1,3
9.5,0.95,0.79,48.5,0.321,230.1,223.9,1.02612,3.18,1.07,13.1,3
12.0,0.99,0.72,35.7,0.199,133.6,361.9,1.01537,3.17,1.74,10.7,3
11.0,1.09,1.06,35.1,0.179,212.9,327.2,1.02269,2.95,1.45,11.4,3
9.3,1.13,0.69,47.8,0.326,186.8,301.5,1.01293,3.45,1.26,12.5,3
11.2,0.95,1.18,47.5,0.182,186.4,251.8,1.01337,2.93,1.19,11.3,3
9.3,0.98,1.46,43.3,0.212,111.7,215.2,1.00374,3.11,1.51,12.4,3
10.2,1.41,1.32,32.9,0.176,195.0,366.0,1.02543,3.11,1.71,13.6,3
8.7,1.21,1.31,43.4,0.293,181.7,328.9,1.02277,3.29,0.74,11.3,3
10.2,0.71,1.0,49.1,0.212,137.9,141.3,1.00902,3.53,1.14,11.2,3
10.8,0.75,0.8,31.9,0.163,218.9,288.3,1.01145,3.32,1.22,12.1,3
7.2,1.19,1.15,56.0,0.213,228.6,346.6,1.01616,3.11,1.21,11.3,3
10.2,1.04,1.26,27.5,0.309,218.3,107.2,0.99984,3.48,1.37,13.0,3
8.8,0.71,1.41,40.6,0.126,64.8,271.2,1.00884,3.02,0.78,12.7,3
8.5,1.1,0.81,38.3,0.216,225.2,361.2,1.00921,2.98,1.01,11.5,3
11.3,0.94,0.49,46.2,0.191,226.3,290.5,1.01611,3.03,1.03,10.9,3
11.5,1.34,1.1,50.7,0.319,240.1,272.2,1.01386,3.24,0.65,13.6,3
8.1,1.19,1.19,46.9,0.328,66.6,334.8,1.02379,2.93,1.49,13.4,3
10.1,0.94,0.91,32.2,0.202,188.3,206.6,1.01769,3.65,1.22,11.9,3
10.4,1.24,0.86,32.3,0.364,194.5,317.0,1.01813,3.22,1.35,11.4,3
9.9,0.72,0.73,40.3,0.132,250.0,215.0,1.00736,3.13,1.4,12.9,3
12.9,0.94,1.16,52.0,0.282,194.8,357.2,1.01062,3.19,1.57,11.9,3
9.7,0.71,1.2,28.3,0.357,102.7,254.0,1.00428,3.16,1.29,13.2,3
9.5,0.67,1.11,28.6,0.165,199.3,105.4,1.01012,3.51,1.34,13.4,3
10.0,0.97,0.7,40.8,0.223,165.2,129.8,1.0113,3.31,1.63,11.1,3
14.7,0.7,1.23,39.9,0.384,217.8,313.5,1.00797,2.99,1.06,10.7,3
10.9,0.94,0.52,42.7,0.247,229.0,400.0,1.01849,2.95,1.47,9.8,3
7.9,0.83,1.07,47.0,0.213,112.2,179.1,1.02369,3.26,0.99,11.6,3
11.3,0.74,1.03,37.6,0.297,186.0,321.8,1.00246,3.19,1.48,10.2,3
10.9,0.56,0.88,30.9,0.154,231.6,281.4,1.01472,3.24,1.04,12.2,3
13.0,0.4,0.7,20.5,0.432,200.9,237.6,1.02162,3.56,1.33,9.7,3
13.7,0.71,0.85,46.1,0.205,217.5,363.6,1.03563,2.92,0.98,10.5,3
12.3,1.07,0.59,52.1,0.138,166.3,355.0,1.01152,3.16,1.58,11.3,3
11.5,1.23,0.97,20.8,0.225,195.5,157.7,1.01509,3.11,1.39,11.4,3
13.5,1.23,0.75,45.4,0.291,123.8,243.5,1.03296,2.95,1.16,11.6,3
9.9,0.85,1.29,53.5,0.35,97.1,292.0,1.01842,3.07,1.58,11.6,3
12.9,1.08,1.21,33.7,0.23,147.7,258.1,1.00716,3.33,1.77,11.9,3
13.4,1.17,1.41,46.9,0.287,273.4,275.3,1.01168,3.23,1.03,10.7,3
9.7,0.79,0.75,44.4,0.223,169.8,234.5,1.01168,2.86,1.52,11.9,3
11.5,1.25,0.89,49.0,0.316,161.6,234.6,1.00956,3.28,1.16,11.1,3
11.7,0.98,1.18,45.4,0.317,194.1,393.0,1.01499,3.14,1.23,11.5,3
7.7,1.05,0.65,42.9,0.16,156.5,242.2,1.01827,2.96,0.96,12.2,3
9.1,0.96,0.73,47.6,0.244,196.1,214.0,1.01495,2.99,1.48,11.1,3
7.1,0.8,0.96,44.3,0.301,140.4,234.7,1.01759,3.16,1.09,13.7,3
8.2,0.69,1.09,34.4,0.11,173.1,299.2,0.99931,3.12,1.5,11.8,3
9.3,1.25,1.12,42.0,0.239,119.2,243.6,1.01775,3.15,0.73,12.8,3
8.0,0.71,0.96,50.6,0.17,154.6,263.1,1.01218,3.26,1.32,11.5,3
13.1,1.41,0.98,37.6,0.107,194.1,313.2,1.01306,3.05,0.86,11.7,3
10.7,1.43,1.25,28.8,0.18,198.1,360.8,1.01128,3.41,1.37,11.7,3
11.7,0.71,0.69,46.1,0.366,152.9,379.2,1.01588,2.97,1.67,9.8,3
9.0,0.8,0.8,43.3,0.195,71.9,158.2,1.02158,3.0,1.47,11.0,3
12.2,1.08,1.07,41.3,0.158,201.6,319.7,1.02318,3.26,1.55,11.2,3
11.1,0.62,0.86,48.3,0.176,176.5,318.3,1.02493,2.98,0.85,12.2,3
8.2,1.31,1.07,51.0,0.115,158.6,393.9,1.02163,3.04,0.75,11.3,3
10.3,0.5,0.99,43.4,0.194,167.6,299.3,1.02433,2.94,1.1,12.8,3
12.0,1.33,1.03,30.4,0.247,266.2,336.8,1.02633,3.01,0.91,11.4,3
12.1,1.17,1.34,42.0,0.457,176.4,202.0,1.01618,3.0,1.22,12.8,3
12.1,0.87,1.16,49.1,0.234,97.5,221.4,1.01362,3.03,0.97,10.8,3
13.0,0.82,1.34,54.1,0.309,151.2,231.9,1.01463,3.26,0.81,9.3,3
8.3,0.86,1.41,42.2,0.191,149.9,160.4,1.01225,3.15,1.62,11.2,3
7.8,1.22,1.2,29.2,0.187,181.2,195.6,1.01635,3.07,1.45,11.3,3
11.5,0.74,1.03,53.6,0.099,146.8,398.0,1.02866,2.98,1.03,11.5,3
10.2,0.52,0.87,35.4,0.194,149.9,330.8,1.01269,3.22,1.06,13.3,3
12.3,1.04,1.13,44.3,0.167,151.5,314.4,0.99585,3.14,1.5,11.6,3
11.7,1.17,0.9,35.3,0.158,227.4,273.0,1.00462,3.16,1.2,10.9,3
11.6,1.07,0.69,41.2,0.21,223.1,302.4,1.02436,3.02,0.89,12.3,3
11.0,0.72,1.14,47.6,0.14,100.5,263.3,1.0088,3.09,1.08,11.8,3
13.1,0.95,1.15,43.9,0.321,201.4,262.3,1.0216,3.02,1.07,11.4,3
13.1,1.19,0.83,50.4,0.37,199.5,308.5,1.01548,3.08,0.89,11.6,3
